Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Provincialeweg 56,Krommenie,475000.0,231.0,155.0,1934.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak,5,1 badkamer en 1 apart toilet,3 woonlagen en een vliering,D,In woonwijk,Voortuin en zijtuin,26.65
Dorpsweg 14,Reeuwijk,1685000.0,2375.0,332.0,1940.0,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,10,1 badkamer en 2 aparte toiletten,3 woonlagen en een kelder,C,"Aan park, aan rustige weg, aan vaarwater, aan water, landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom,
Zeestraat 112,Beverwijk,650000.0,196.0,181.0,1912.0,Bestaande bouw,"Herenhuis, geschakelde woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,7,2 badkamers,3 woonlagen,G,In centrum,Achtertuin en voortuin,11.4
Wilhelmus Peekhof 6,Odijk,775000.0,320.0,161.0,2007.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Dwarskap bedekt met pannen,5,1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder met vliering,A+,Aan rustige weg en in woonwijk,Achtertuin en voortuin,54.2
Wulp 3,Waspik,499000.0,212.0,180.0,2005.0,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin,37.65
Eibergseweg 2,Haarlo,440000.0,753.0,146.0,,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met pannen,5,2 badkamers en 2 aparte toiletten,2 woonlagen,G,Beschutte ligging en in woonwijk,Achtertuin en voortuin,3.2
De Nessermolen 81,Amstelveen,575000.0,146.0,105.0,1988.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4,2 badkamers en 1 apart toilet,2 woonlagen,B,Beschutte ligging en in woonwijk,Achtertuin,28.45
Sweelinckstraat 2,Berkel en Rodenrijs,675000.0,327.0,145.0,1972.0,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met bitumineuze dakbedekking,5,1 badkamer en 1 apart toilet,2 woonlagen,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",6.25
Grotebrugse Grintweg 226,Tiel,700000.0,605.0,154.0,1967.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6,1 badkamer en 1 apart toilet,2 woonlagen en een zolder,E,Aan drukke weg,Voortuin,
Uiterweg 302,Aalsmeer,825000.0,365.0,143.0,1980.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,2 woonlagen,C,Aan vaarwater en open ligging,"Achtertuin, voortuin en zijtuin",8.75
Espelerlaan 17,Emmeloord,319000.0,363.0,119.0,1943.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen en een kelder,F,In centrum en in woonwijk,Achtertuin en voortuin,13.35
